loan_word;puris_equivalent
imminentie;boven ’t hoofdt hanging
immineren;boven ’t hoofdt hangen, ghenaaken
imminueren;verkleinen, verminderen, kneuzen
imminutie;vermindering
immisceren;inmengen, ondermengen
immiscibel;onmengelijk
immissie;inzending, inlaating
immitteren;inzenden, toezenden, inlaaten
immobil;ontilbaar, onbeweeghlijk, onroerlijk
immoderatie;onmaatigheidt
immodest;onzeedigh, ongheschikt, ontughtigh
immodestie;onzeedigheidt, ontucht, ontughtigheidt
immolatie;opóffering, slachting
immoleren;opófferen
immondiciteit;onzuiverheidt, onreinigheidt
immortaliseren;onsterflijk maaken
immortaliteit;onsterffelijkheidt
immortel;onsterffelijk
immuabel;immutabel,onwisselbaar, onveranderlijk
immun;vry, onbelast
immuniteit;onbelastheidt
immutabiliteit;onveranderlijkheidt
impalpabel;ontastbaar
impar;oneeven, onghelijk, onpaar
impariteit;oneevenheidt
impartibel;ondeelijk, ondeelbaar
impartiëren;meededeelen
impassibel;onlijdelijk
impatibel;onghedooghzaam, onlijdelijk, onverdraaghelijk
impatient;onlijdzaam, onverduldigh
impatientie;onlijdzaamheidt, onverduldigheidt, ongheduldt
impediëren;verhinderen, beletten
impediment;belet, hindering
impelleren;anstouwen, drijven, voortstooten
impenetrabel;ondoordringelijk
impenitent;onboetvaerdigh
impenitentie;onboetvaerdigheidt
imperateur;keizer, veldtheer, ghebieder
imperceptibel;onbegrijpelijk, onbevattelijk
impereren;ghebieden, beveelen, heerschappen
imperfect;onvolmaakt, onvolkomen
imperfectie;onvolmaaktheidt, onvolkomenheidt
imperiaal;keizerlijk, heerschelijk
imperieux;ghebiedelijk, heerschzuchtigh
impersoneel;onpersoonlijk
impersuasibiliteit;onghezeghlijkheidt
impertinent;ongherijmdt, slordigh, onhebbelijk, onbehoorlijk
impertinentie;onhebbelijkheidt, ongherijmdheidt
impetitie;eisch, eissching
impetrant;verwerver, verkrijgher, verzoeker
impetrantie;verkrijghster, verwerfster
impetratie;verkrijghing, verwerving
impetreren;verwerven, verkrijgen
impetueusiteit;onghestuimigheidt, heevigheidt
impetueux;onghestuimigh, heftigh
impiëteit;ghódtloosheidt, onghódtvruchtigheidt
impiëteren;zondighen, ghödtloos maaken
impingeren;anwrijven, anstooten, oplegghen, anhorten
impitoyabel;onbarmhartigh
implacabel;onverzoenlijk
impleren;vervullen
implicatie;invouwing, inwikkeling, inwinding
impliceren;impliqueren, invouwen, inwikkelen, bevangen
imploratie;anroeping
imploratie;anroeping
imploreren;anroepen
imployabel;onbuighelijk
imponeren;oplegghen, inlegghen, inzetten
importabel;onverdraaghlijk, onlijdelijk
important;ghewightigh
importantie;ghewichtigheidt, belang
importeren;belangen, bedraaghen
importuin;overlastigh, onbeschóft, moeyelijk
importuneren;overlasten, lastigh zijn, dringen, moeyelijk vallen
importuniteit;overlast, moeyelijkheidt, overdringing
imposeren;oplegghen, te last legghen
impositie;oplegghing, oplaghe, schatting, inlegghing, belasting
impossibil;onmooghelijk
impossibiliteit;onmooghelijkheidt
impost;tól, schatting, inzetting
imposteur;bedriegher
imposture;bedrógh
impotent;onmaghtigh, onvermooghend
impotentie;onmaghtigheidt, onmaght, onvermoghenheidt
imprecatie;toewensching, vloek, quaadtwensching
impreceren;vloeken, toewenschen
impregnatie;bevruchting, bezwangering
impregneren;bevruchten, bezwangeren
imprenabel;onverkrijghelijk, onwinbaar
impressie;indrukking, druksel, print, drukking, indruksel, inbeelding
imprimeren;indrukken, inprenten
improbabel;onbewijslijk, onbewijsbaar
improberen;quaadt keuren, quaadt achten, wraaken
improbiteit;onvroomheidt, ondeughdt
improprie;oneighen, onvoeghlijk
imprudent;onwijs, onvoorzightigh
imprudentie;onwijsheidt, onvoorzightigheidt
impudent;onbeschaamdt
impudentie;onbeschaamdheidt
impudiciteit;onkuyscheidt, oneerbaarheidt
impudicq;onkuisch, onschaamel, oneerbaar
impugnateur;bestrijder, bevechter
impugnatie;bevechting, teeghenstrijding
impugneren;bevechten, bestrijden
impuissant;onmaghtigh, kraghteloos
impulseur;anstooker, andrijver
impulsie;opstooking, andrijving
impunibel;onstrafbaar
impuniteit;onghestraftheidt, strafvryheydt
imputatie;wijting, antijghing, toemeeting, toereekening
imputeren;wijten, antijghen, toemeeten, toereekenen, te last legghen, oplegghen
in cas;in ghevalle
in cas;in ghevalle
in salvô;in behoudenis, in behouden haven, behouden
in specie;in ’t byzonder, afzonderlijk
in specie;in ’t byzonder, afzonderlijk
inaccessibel;ontoeghankelijk, onbeghankelijk, onbykomelijk, onghenaaklijk
inadequaat;oneevenmaatigh
inadvertentie;onbedaghtzaamheidt, reukeloosheidt, achteloosheidt, onverwittigdheidt
inalienabel;onvervreemdbaar
inanitie;ydelheidt, leedigheidt, ontleedighing
inartificiaal;onkonstigh
inauguratie;inheilighing, inwying, inhulding
inaugureren;inheilighen, inwyen, inhulden
incapabel;onvatbaar, beghrijpeloos, onbevattelijk
incapaciteit;onvatbaarheidt
incarceratie;ghevankenis, ghevangen zetting
incarcereren;kerkeren, vangen, ghevangen zetten
incarnaat;roodt, hooghroodt
incarnatie;vleeschwording, menschwording, bevleisching, invleisching, tijdtschrift, talschrift
incarneren;vleeschworden, bevleeschen
incenderen;ansteeken
incensie;ansteeking
incentif;anstooksel
inceptie;beghinning, anvang
incerteyn;onzeeker
incertitude;onzeekerheidt
incessament;onophoudelijk
inceste;bloedtschande
incesteren;bloedtschande beghaan
incident;inval, voorval, toeval, tusschenval
incidentie;invalling, toevalling, tusschenvalling
incideren;insnijden, opsnijden, voorvallen, tusschenvallen, etsen
incipieren;beghinnen, aanvangen
incisie;insnijding, doorsnijding, opsnijding
incitateur;anporrer, anhitzer
incitatie;anporring, ophitzing
inciteren;anporren, opstooken, anritsen, antlókken
incivil;onburgherlijk, onheusch, onbeleefdt
inciviliteit;onburgherlijkheidt, onheuscheidt, onbeleefdheidt
inclement;onghenadigh, straf
inclementie;onghenade, straffigheidt
inclinatie;toeneighing, neighing
inclineren;toeneighen, neighen
includeren;insluiten
inclusie;insluiting
inclusif;insluitighlijk, binnen ghesloten
incluys;inghesloten, binnen, in beghrepen
incogitabel;onbedenkelijk
incolumiteit;ongheschondenheidt, welstandt, ghezondheit, welvaarendheidt
incomiteren;verzelschappen
incommensurabel;onmeetlijk, onmeedemeetlijk, onghemeeten
incommodatie;ontrijving
incommode;onghemakkelijk
incommoderen;ontrieven, ongheleeghenheidt maaken, veronghemakken
incommoditeit;ongheleeghenheidt, onghemak, ongherijf
incommunicabel;onmeededeelbaar
incomparabel;onverghelijklijk
incompatibel;onverdraaghlijk, onlijdelijk
incompetent;onbehoorlijk, ononderhoorigh
incompetentie;ononderhoorigheidt, ontoebehoortigheidt
incompleet;onvolkomen, ghebrekkigh, onvervuldt
incomprehensibel;onbeghrijpelijk
incomprehensibiliteit;onbeghrijpelijkheidt
incongruiteit;wanschikkelijkheidt, onovereenkoming, onghevoeghlijkheidt
inconsiderant;onbedachtsaam, reukeloos
inconsiderantie;onopmerking, onbedachtzaamheidt, reukeloosheidt
inconsideratie;onbezindheidt, reukeloosheidt
inconstant;onstandtvastigh, wispeltuurigh, ongestaadigh
inconstantie;onstandtvastigheidt, wispeltuurigheidt, onghestaadigheidt
incontinentie;lustvólghing, onghetoomdheidt, wulpsheidt, onghemaatighdheidt, oninghetooghenheidt
inconvenient;ongheval, misval, ongheluk, onovereenkomstigh
inconvenientie;onovereenkomst, ongheleeghenheidt
incorporatie;inlijving
incorporeel;onlicchaamelijk
incorporeren;inlijven, inneemen
incorrect;onverbeeterdt, ghebreklijk
incorrectie;onverbeeterdheidt, ghebrekkelijkheidt
incorrigibel;overbeeterlijk
incorruptibel;onverderffelijk: onomkoopelijk, onomzettelijk
incoupabel;onstraffelijk, onstrafbaar
incredibel;onghelooflijk
incredibiliteit;onghelooflijkheidt
incredul;ongheloovigh
increduliteit;ongheloof, ongheloovigheidt
increment;rijzing, anwassing, aanghroeying
increpatie;bekijving
increperen;bekijven, bulderen, bestraffen
inculcatie;inscherping
inculpabel;onstraffelijk, onstrafbaar onschuldighbaar
inculqueren;instampen, inscherpen
incumberen;opligghen, opsteunen, anvorderen, voorhebben
incurabel;ongheheeslijk
incurreren;anloopen, inloopen
incursie;anloop, optóght, anval
incusatie;beschuldighing, anklaaghing, anklaght
incuseren;beschuldighen, anklaaghen
indagatie;navórsching, opspooring, onderzoeking
indageren;navórsschen, opspooren
indecent;onbetaamelijk
indecentie;onbetaamelijkheydt
indeclinabel;onbuighelijk, onontwijkelijk
indemneren;schadeloos houden, vryhouden, anheffen
indemniteyt;schadeloosheidt, vryhouding, schade verghoeding, schadeloos
indemonstrabel;onbetooghlijk
independent;onverbonden, onafhangigh, van niemandt afhangende
independentie;onafhangelijkheidt, onverbondenheidt
index;anwijzer
indice;kenteiken, bewijsteeken
indiceren;anzegghen, ghebieden
indicibel;onuitspreekelijk, onzegghelijk, onbediedelijk
indictie;anzegghing, tijdtghebódt
indifferent;eenderley, onverscheidelijk, even eens, ononderscheidelijk, onverscheeligh
indifferentie;onverscheel, onverscheeligheidt
indigene;inghebooren, inboorling
indigent;behoeftigh
indigentie;behoeftigheidt, schorting
indigeren;behoeven
indigestie;onverdouwing, onverteerdheidt, rauwheidt, teermachtloosheidt, onschikking, verwarring, wanschikking
indigiteren;te kennen gheeven, met duim en vingeren induwen, anwijzen
indignatie;verontwaerding, onwaerdigheidt, euvelneeming, weederwaerdigheidt
indigneren;verontwaerdighen, quaalijk neemen
indirect;kromsweeghs, averrechtsch, door omweeghen
indiscreet;onbescheiden
indiscretie;onbescheidenheydt
indisert;onbespraakt, wantaaligh, wanspraakelijk
indispoost;onghesteldt, onghezondt
indispositie;onghesteldheidt, onghezondheidt
indissolubel;onlósselijk
indissolubiliteit;onlósselijkheidt
indistinct;ononderscheiden, verwardt
indistinctie;ononderscheidenheidt
indivisibel;ondeellijk, ondeelbaar
indocile;onleerzaam
indociliteyt;onleerlijkheidt, onleerzaamheidt
indole;inborst, aart
indomptabel;onbetemmelijk, ontembaar
indubitabel;ontwijffelbaar
induceren;invoeren, inleiden, anraaden, wijsmaaken, onderwijzen, anlókken
inductie;anraading, invoering, invoeghing, ’t zamenleyding, optelling
indulgent;ghedooghzaam, toelaatende, toegheevende
indulgentie;ghedooghing, toelaating, vrygheeving, verwillighing, aflaat
indulgeren;ghedooghen, toelaaten, toegheeven
induratie;verharding
indureren;verharden
industrie;ghaauwigheidt, wakkerheidt, kloekheidt, naerstigheidt, vernuftigheidt
industrieux;vernuftigh, ghaauw, sneedigh
ineffabel;onuitspreekelijk
ineffabiliteit;onuitspreeklijkheidt
inefficax;krachteloos, onkrachtigh
inegaal;oneffen, onghelijk
inegaliteyt;oneffenheidt, onghelijkheidt
inept;ongherijmdt, onbequaam, onheblijk
ineptie;ongherijmdheidt, onbequaamheidt
inequaal;onghelijk, oneffen
inequaliteit;onghelijkheidt, oneffenheidt
inertie;vadsigheidt, luyheidt
inestimabel;onschattelijk, onwaerdeerlijk
inëvitabel;onvermijdelijk
inexcusabel;schuldbaar, onverschoonlijk
inexecutie;onuitgherechtheidt, onuitrechting
inexisteren;in zijn
inexorabel;onverbiddelijk
inexorabiliteit;onverbiddelijkheidt
inexpert;ongheoeffendt, onverzócht
inexplicabel;onuitlegghelijk
inexpugnabel;onwinbaar, onverwinnelijk
inextricabel;onuitwikkelijk, onuitreddelijk
infaam;eerloos
infallibel;onbedrieghlijk
infallibiliteyt;onbedrieghlijkheidt
infameren;eerrooven, schandtvlekken
infamie;schandtvlek, eerrooving
infanterie;voetvólk
infantie;kindsheidt, onmondigheidt
infecond;onvruchtbaar
infeconditeit;onvruchtbaarheidt
infect;stinkende, besmet
infecteren;besmetten
infectie;besmetting
infereren;invoeren, inbrengen
inferieur;minder, laagher, onderdaan, onderbeurtigh
inferioriteit;laagherheidt
infernaal;helsch
infertil;onvruchtbaar
infestatie;quelling
infesteren;beleedighen, bekommeren, quellen
infidel;ontrouw, trouwloos, ongeloovigh
infideliteit;ontrouwigheidt, trouwloosheidt, ongheloovigheidt, ongheloof
infirm;onsterk, zwak
infirmeren;onsterken, verzwakken
infirmerie;ziekhuys, ghasthuis
infirmiteit;onsterkheidt, zwakheidt, lósheidt
inflammatie;ontsteeking
inflammeren;ontsteeken
inflatie;opblaazing, zwelling
inflecteren;ombuighen, buighen
inflectie;ombuighing
infleren;opblaazen
inflexibel;onbuighelijk
infligatie;anslaaning, inslaaning
infligeren;anslaan, slaan, smijten
influentie;invloeying
influeren;invloeyen
influx;invloedt, invloeying
inform;onghedaantigh, ghestalteloos, vórmeloos
informatie;kundschap, berichting, bescheidt, kennis, invórming, bevórming, verneemschrift, onderrichting
informeren;kennis neemen, kundschap doen, berichten, onderwijzen, bevórmen
infortuin;rampspoedt, ongheluk
infracteur;overtreeder, inbreeker
infractie;inbreuk
infrangibel;onbreekelijk
infrequent;zelden
infringeren;breeken, omstooten, overtreeden
infructueux;onvruchtbaar
infunderen;instorten, inghieten
infusie;instorting, doorghieting, inghieting
ingenerabel;onteelbaar
ingenieur;bólwerker, vestbouwer, vernufteling, sterktbouwer
ingenieux;zinrijk, verstandelijk, verstandigh
ingenuiteyt;vrymoedigheydt, openhartigheyt, oprechtigheidt
ingereren;indringen, indraaghen
ingratitude;ondankbaarheidt
ingredient;inmengsel
ingrediëren;intreeden
ingressie;intreeding, inghang
inhabil;onbequaam, onabel
inhabiliteit;onbequaamheidt
inhabitabel;onbewoonlijk
inherentie;inhanging
inhereren;inhangen, inblijven
inhesie;inhanging
inhiberen;verbieden, hinderen, opschorten, beletten
inhibitie;verbódt, behindering, opschorting
inhonest;eerloos, oneerbaar
inhospitaliteit;onherberghing, ongastvryheidt, onherberghzaamheidt
inhumain;onbeleefdt, onmenschlijk, onheusch
inhumaniteyt;onbeleefdheidt
inimicitie;vyandschap
inimitabel;onnavólghelijk
iniquitiet;ongherechtigheidt, onbillijkheidt
initiatie;inwying, inheilighing
injectie;inworping
injunctie;invoeghing, toevoeghing, beveeling
injungeren;toevoeghen
injurie;onghelijk, onrecht, hoon, laster
injuriëren;veronghelijken, hoonen, lasteren
injurieux;smaadelijk, lasterlijk
injuste;onrechtvaerdigh
injustitie;onrechtvaerdigheidt, ongerechtigheidt
innavigabel;onbevaarlijk, onbezeilbaar
innocent;onnozel, schuldeloos
innocentie;onnozelheidt
innovatie;vernieuwing
innoveren;vernieuwen
innueren;te kennen gheeven, anwijzen
innumerabel;ontelbaar, ontallijk
innumerabiliteit;ontelbaarheidt
inobedient;onghehoorzaam
inobedientie;onghehoorzaamheidt
inondatie;overvloeying, oplooping
inonderen;overvloeyen, overloopen
inopinabel;onmeinlijk, onwaanbaar
inornaat;onghesterdt
inprovise;onvoorziens
inquiëtatie;inquiëtude, ontrusting, onrust
inquiëteren;ontrusten
inquinatie;besmetting
inquineren;besmetten
inquireren;onderzoeken, doorsnuffelen, navórschen
inquisiteur;onderzoeker, onderzoekmeester, kettermeester, gheloofs onderzoeker
inquisitie;onderzoek, naspeuring, geloofsonderzoek, ondervraaghing
inrreceptibiliteit;onontfankelijkheidt
insanabel;ongheneeslijk
insanie;dolligheidt
insatiabel;onverzaadelijk
inscriberen;inschrijven, toeschrijven, opschrijven
inscript;ingeschreeven
inscriptie;opschrift, inschrijving
inscrutabel;ondoorghrondelijk, ondoorzoekelijk
insecteren;vervólghen
insensibel;onghevoelijk
inseparabel;onscheidelijk, onafscheidelijk
insereren;inzetten, invoeghen, inlijven, tusschenvoeghen, tusschenstellen
insertie;invoeghing, inlijving, tusschenvoeghing
inserveren;bedienen, dienen
insidie;belaaghing, schuylhoek, list
insigne;merkteiken, kenteiken
insimulatie;betichting, beschuldighing
insimuleren;betichten, anklaaghen
insinuant;waarschuwer, verkondigher, verwittigher: indringer, invlyer, inschuiver
insinuatie;inschuiving, te kennen gheeving, anmelding, waarschuwing, bekendtmaaking
insinuëren;indringen, invlyen, inschuiven: te kennen gheeven, anmelden, verwittighen, verkundighen, bekent maaken
insipient;onvroedt, zót, dwaas
insipientie;zótheidt, dwaasheidt
insisteren;anstaan, volharden, anhouden, daar by blijven
insociabel;ongezelschappigh
insolent;moedtwilligh, onghewoon, overdaadigh, onghereegheldt
insolentie;moedtwilligheidt, moedtwil, dertelheidt, baldaadigheidt, onghewoonlijkheidt
insolide;ondicht
insolubel;onlósselijck, ontbindbaar
insolvent;onbetaalijk, onbetaalbaar
insolventie;onvermoghenheidt tót betaalen, onbetaalbaarheidt
inspectie;beschouwing, anschouwing, bezichting
inspectie oculaire;ooghbeschouwing
inspicieren;inzien, beschouwen
inspiratie;inblaazing, anblaazing, ingheeving
inspireren;inblaazen, anblaazen
instabel;wankelbaar, onbestandigh
instabiliteit;onbestandigheidt, wankelbaarheidt
instantie;anhouding, volstandigheidt, gheduurigheidt, rechtvervólgh
instauratie;herstelling, oprechting, vernieuwing, weêroprechting
instaureren;oprechten, vernieuwen, herstellen
insteren;anhouden, volharden, naaken
instigateur;opstooker, anstouwer
instigatie;anstouwing, aanhitsing
instigeren;opstooken, anstuwen, drijven, ophitsen
instillatie;indrupping
instilleren;indruppen
instinct;drift, ingheeven, inblaazing
instituëren;inzetten, onderwijzen, instellen
institutie;inzetting, onderwijzing, instelling
instruct;toegherust
instructie;onderrichting, toerechting, bericht, narichting, onderwijs, toerusting
instruëren;onderrichten, toerechten, berichten, onderwijzen, toerusten
instrument;tuigh, werktuigh, handeltuigh, ghereedschap
insufficient;onghenoeghzaam
insultatie;beschimpingh, schamperheidt: opspringing
insulteren;beschimpen: opspringen
insuperabel;onverwinlijk, onovertrefbaar
insupportabel;onverdraaghlijk
integreren;heelen, heel maaken
integriteyt;deeghelijkheidt, oprechtigheidt, louterheidt, onghekreuktheidt, gheheelheidt
intellect;vernuft, verstandt, kennis
intellectie;verstaaning, kenning
intelligentie;kundschap, verstandt, kennis
intelligibel;verstaanlijk, verstaanbaar
intemperant;onghemaatighdt
intemperantie;onghemaatighdheidt
intenderen;beooghen, voorhebben, natrachten: verstijven, inspannen
intendit;eischschrift, eischbewijsschrift
intensie;verstijving, inspanning
intentatie;anlegghing, anwending
intenteren;onderstaan, anlegghen, anwenden, onderneemen: dreigen
intentie;ooghwit, ooghmerk, opzet, voorneemen, opzetting, meening, eisch, begheerte
intercalatie;tusschentelling, tijdtvoeghing, jaarsleutel
intercapedo;tusschenbeghrijping, tusschenbeidenheidt, tusschenbeghrip
intercederen;tusschenspreeken, bemiddelen
intercesseur;bemiddelaar, tusschenspreeker, tusscheninkoomer
intercessie;bemiddeling, tusschenkomst, tusschenspreeking, tusscheninkomst
intercideren;vervallen, te niete ghaan
intercipiëren;onderscheppen
interdicent;verbieder
interdicente;verbiedster
interdiceren;verbieden, verbódt doen
interdict;verbódt
interdictie;verbieding
interesseren;beschadighen, vernadeelen, verkorten
interest;schade, nadeel, belang, gheldtghewin, missing, gheldtderving, rente, verloop
interficieren;dooden, ombrengen
interieur;inwendigh, innerlijk
interinement;ghestandtdoening, gestadighing
interineren;ghestaaden, voor ghoedt kennen
interjecteren;interjicieren, inwerpen, tusschenwerpen, inbrengen
interjectie;inworp, inwerpsel, tusschenstelling, inwerping, inbrenging
interlocutie;tusschenspraak, tusschenspreeking
interlocutoir;tusschenspreekigh
interlocutoire sententie;tusschenoordeel, tusschengewijsde
interloqueren;tusschenspreeken
intermissie;aflaating, verpoozing, tusschenkomst
intermitteren;ophouden, aflaaten, verpoozen
interpellatie;inspraak, tusschenspraak, te hulp roeping, anspraak
interpelleren;inspreeken, tusschenspreeken, verzoeken, behinderen, verghen
interponeren;interposeren, tusschenstellen
interpositie;tusschenstelling
interpretatie;uitlegghing, bediedt, vertaaling, verklaaring, vertólking
interpreteren;uitlegghen, verklaaren
interpunctatie;tusschenpunting
interpuncteren;tusschenpunten
interrogatie;ondervraaghing
interrogatorien;vraaghstukken
interrogeren;ondervraaghen
interrumperen;tusscheninvallen
interrupt;afghebroken
interruptie;afbreeking, tusschenvalling
interturberen;ondertusschen beroeren
interval;tusschenheidt, tusschenwijdte, tusschenruimte, tusschenval, wijdte, tusschenplaats, tusschentijdt
intervenient;tusschenkoomer, ghedingoverneemer
interventie;tusschenkomst, tusscheninkomst: ghedings overneeming
intestin;darm, ingewandt: inwendigh
intimatie;ankunding, ontbieding, te kennen gheeving: ontbieding, ankundighing, rechtdaghslegghing
intime;binnenst
intimeren;ontbieden, ankundighen, rechtdaghlegghen
intimideren;vertzaaghen, vrees anjaaghen
intitulatie;naamgheeving
intituleren;naamnoemen, benaamen
intolerabel;onverdraaghlijk
intolerantie;onverdraaghlijkheidt
intoneren;voorzingen
intractabel;onhandelbaar, bars, onrekkelijk
intrepiditeyt;onvertzaaghdheidt
intricaat;verwardt, verstrikt
intricatie;verwarring, verstrikking
intriceren;intriqueren, verstrikken, inwikkelen
intrinseque;innerlijk, inwendighlijk
introduceren;invoeren, inleiden, inbrengen, binnenleiden
introductie;inleiding
intromitteren;inlaaten, inzenden
intruderen;instooten
intrusie;instooting
intuit;opzicht, anblik, inzicht
inundatie;overvloeying, waterovervloeying, watervloedt, wateroploop
inunderen;overvloeyen
inutil;onnut
inutiliteit;onnuttigheidt
invaderen;anvallen, invaaren, anrantsen
invalide;onsterk, onkrachtigh
invalideren;onkraghtigh maaken
invaliditeit;onsterkheidt, onkrachtigheidt
invariabel;onveranderlijk
invasie;anval, inval
invectif;lastering, beschelding, doorstrijking
inveheren;invoeren, inbrengen, uitvaaren
inventarient;boedelschriftgheever
inventariente;boedelschriftgheefster
inventariëren;beschrijven, boedelschrijven
inventaris;inhoudt, lijste, beschrijving van ghoederen, staatbeschrijving, boelschrift, staatantekening, bewindtschrift, boelbevinding, boedelopschrijving
inventeren;vinden, uitvinden
inventeur;vinder
inventie;vinding, vondt, ervinding
inventif;vondtrijk, vindzaam, vernuftigh
inversie;omkeering, omdraay, omkeer
inverteren;omkeeren, omwenden
invervenieren;tusschenkomen, tusscheninkoomen: ’t gheding overneemen
investieren;bezit neemen, verlyden, leenhulding doen
investigatie;navórsching
investigeren;opspeuren, navórschen
investiture;instelling, verly, ghoedenis, inneeming, anvaerding, leenghiftbrief
inveteratie;verouding
invetereren;verouden
invincibel;onwinbaar
inviolabel;onschendbaar
invisibel;onzightbaar
invitatie;noodighing
inviteren;anporren, noodighen
invocatie;anroeping
invoceren;anroepen
involuntair;onwilligh
involutie;inwikkeling, inwinding, inwenteling, bestrikking
involveren;inwikkelen, inwinden, inwentelen
iracundie;ghramschap, ghrammoedigheidt, toorn
ironie;schimpreeden, schars, spótspreuk, scharssing
ironisch;schimpigh, spóttigh, schertsend
irradiatie;instraaling
irradieren;instraalen, inschijnen
irraisonnabel;onreedelijk, onbillijk
irrationaal;onreedelijk
irreceptibel;onontfankelijk
irreconciliabel;onverzoenlijk
irrecuperabel;onweederkrijghelijk
irrefragabel;onverwerpelijk, onweederspreekelijk
irregulier;onghemeen, ongeschikt
irrelevabel;onheffelijk, onherstellijk
irrelevant;onherstellende
irremissibel;overgheeflijk
irreparabel;onverbeeterlijk, onverghoedelijk
irreprehensibel;onberispelijk
irresolubel;onlósbaar, onoplósselijk
irresolutie;wankelmoedigheidt
irreverentie;oneerbieding, oneerbiedigheidt
irrevocabel;onweederroepelijk
irrideren;beghekken, belacchen, bespótten, beschimpen
irrisie;belacching, bespótting, beschimping, beghekking
irritatie;terghing
irriteren;terghen
issue;uitghank, uittóght, uitghangrecht, verplaats gheldt
isufficientie;onghenoeghzaamheidt
item;desghelijks, insghelijks, zo ook
iteratie;hervatting
iteratif;meermaals
itereren;hervatten, herhaalen
jaceren;ligghen
jactatie;jactantie, beroeming
jacteren;jactiteren, beroemen
jacture;verlies, weghwerping, hinder
jaculeren;werpen
jalours;belghziek, belghzuchtigh, minyverigh, nayverigh
jalousie;belghzucht, minnenijdt, nayver, minyver, erghwaan
januarius;louwmaandt
javelijn;spiesken, werpschicht
jolijt;gheestigh, fraay
joncture;voeghing, ghelidt, ghewricht
journaal;daghelijks, daghboek
jubilee;luidtjaar, juichjaar
jubileren;verheughen, juicchen
judicature;vonnis, rechtspleeghing, rechterschap, rechterampt
judiceren;oordeelen, rechten, wijzen
judiciaal;gherechtelijk, rechtspreekelijk, rechterlijk
juge;rechter, oordeeler
jugement;oordeel, recht, gherichte
jugeren;rechten, oordeelen
julep;drankje
julius;hooymaant
juncture;voeghing, ghelidt, ghewricht
jungeren;voeghen, byvoeghen
junius;zomermaandt, weymaandt, wiedemaandt, braakmaandt
jurament;eedt, eedtzweering
juratie;zweering
juratorie;by eede, onder eede
jureren;zweeren
jurisconsulte;jurist, rechtsgheleerde
jurisdictie;rechtspreeking, rechtsdwang, rechtsghebiedt, rechtsmacht, rechtsban
jurisprudentie;rechtskunde, rechtsgheleerdheidt
justicier;gherechtsdienaar, richter, wethouder, schout
justificateur;rechtvaerdigher, rechtvaerdighmaaker
justificatie;rechtvaerdighmaaking, rechtvaerdighing
justificeren;justifieren, rechtvaerdighen
justitie;gherecht, gherechtigheidt, rechtvaerdigheidt, recht
justitieren;recht doen
juvatie;helping
juveren;helpen
juweelen;kleynoodjen
labefacteren;verzwakken
labeur;arbeidt
labil;zwak
laboureren;arbeiden, werken
labourieux;arbeidigh, arbeidzaam
labyrint;doolhóf
laceratie;verscheuring
lacereren;verscheuren
lachrymatie;weening, schreying, huiling
lachrymeren;weenen, schreyen
lacteur;leezer, voorleezer
lakey;navólgher, loopjongen, vólghknecht
lambris;welfsel, beschót
lambrisseren;bewelven, beschieten, met schót bekleeden
lamentatie;ghekarm, jammerklaght, weeklaaghing
lamenteren;karmen, jammeren, weeklaaghen
lampet;waschvat, handtwaschvat
lancet;vliem, laatvlijm
landtsrechtsvoorderaar;’s landtsschatbewaarer
laps;val, missing, verloop
lardeer-priem;spekpriem
larderen;doorspekken
large;rijkelijk, breedt
lasche;laf
lascif;gheil, wulpsch, broodtdronken, dartel
lasciviteyt;gheilheidt, broodtdronkenheidt
lastagie;ballast
latitatie;verschuiling, verberghing
latiteren;wechschuilen, zich t’zoek maaken, schuilen
latitude;wijdte, breedte
lattoen;koper
laudatie;looving, prijzing
laudemia;heerghewaaden, leenghiften, leengheschenken
lauderen;looven, prijzen
lavoir;waschvat, bekken
laxatie;loozing, lóssing, slaaking, opening
laxeren;loozen, lóssen, openen
lazuur;blaauw, heemelsblaauw
lectie;leezing, les
lecture;leezing
lederen;quetsen
ledikant;lit de camp, veldtbedde, veldtbedsteede, leegherbedstede
legaal;wettigh, wettelijk
legaat;afghezant, erfmaaking, maaking:
legaliteyt;wettigheidt, wettelijkheidt
legataris;erfghemaakte, maakingbeurder
legateren;maaken, bespreeken, erfspreeken, maaken by uiterste wil
legateur;erfdeeler, erfuitdeeler, bespreeker, erfbespeeker
legatie;afzending, bezending, erfmaaking, ghezantschap
legende;verhaal, vertelling
legioen;krijghsheir, krijghshoop
legislateur;wetgheever, wetsteller
legitimatie;bewettighing, wettighmaaking
legitime;wettigh
legitime portie;wettigh ghedeelte, rechtelijk deel
legitimeren;bewettighen, wettighmaaken
legumes;plukvruchten
leniteit;zaftheidt, ghedweeghzaamheidt, slapheidt, rekkelijkheidt
lenitif;verzachtende
lenitude;langzaamheidt, slapheidt
lepreux;melaatsch, lazarisch, zeerigh, zweerigh, schurft
lesie;quetsing
letaal;doodelijk
letargie;slaapzucht, slaapkoorts, koortsigh, slaapziekte
letitie;blyschap
levant;oosten
levee;afdaking
leviteit;lichtvaerdigheidt, lichtheidt
lias;snoer, rijghsnoer
liasseren;snoeren
libel;gheschrift, aanschrift, ghedingschrift, boek, eysch
libella;richtsnoer
libelleren;anschrijven, schrijven, te boek schrijven
liber;vry, vrank
liberaal;mildt, ghulhartigh, vrymoedigh, openhartigh
